Date,Open,High,Low,Close,Volume,Adj Close
6/4/2008,44.5,45.15,41.6,42.35,1735200,40.81
6/3/2008,42.1,44.7,40.65,44.7,3746400,43.08
6/2/2008,45.25,45.7,42.5,42.6,1359500,41.05
5/30/2008,47,47.3,44.55,45,1454600,43.37
5/29/2008,48.4,48.8,46.05,46.4,4124300,44.71
5/28/2008,47.5,48.25,46.85,47.9,1416700,46.16
5/27/2008,48.9,49.5,46.85,47.15,2092500,45.44
5/26/2008,46,49.1,46,48.6,2383200,46.83
5/23/2008,50.8,51.55,48.1,48.2,2325700,46.45
5/22/2008,50.4,51.5,50.1,50.4,1511900,48.57
5/21/2008,50.1,52,49.25,51.7,2853300,49.82
5/20/2008,51.5,51.8,50.5,50.75,1984600,48.91
5/16/2008,51.55,52.5,51,51.9,3535400,50.01
5/15/2008,52.5,52.95,51.2,51.5,3526700,49.63
5/14/2008,50.95,52.5,49,52.3,6430200,50.4
5/13/2008,52.1,53.5,49.6,49.8,7837600,47.99
5/12/2008,47.5,51.9,46.25,51.7,10853100,49.82
5/9/2008,55.5,56.2,48.55,49.55,7099000,47.75
5/8/2008,53.1,56.2,52.05,55.55,6836200,53.53
5/7/2008,52.5,53.9,51.55,53,2532300,51.08
5/6/2008,53,54,51.65,52.75,1554900,50.83
5/5/2008,54.5,54.9,52.35,52.85,2329400,50.93
5/2/2008,52.5,54.6,51.55,53.85,4096000,51.89
4/30/2008,53.65,53.85,51.25,51.9,1526600,50.01
4/29/2008,54,54.45,52.1,53.1,2289400,51.17
4/28/2008,53,55.1,51.9,53.75,4620800,51.8
4/25/2008,53.85,54.4,51.25,52.35,3465400,50.45
4/24/2008,57,57.9,53.3,53.55,12208100,51.61
4/23/2008,49.9,57.5,48.75,56.15,21858900,54.11
4/22/2008,48.5,49.5,47.1,49,1932000,47.22
4/21/2008,46.85,48.8,46.3,48.1,2031000,46.35
4/17/2008,47.25,47.9,46,46.15,2093600,44.47
4/16/2008,43,47.5,42.7,46.75,4553400,45.05
4/15/2008,41.35,43.5,40.3,43,1635700,41.44
4/11/2008,42,42.5,41.2,41.55,1149400,40.04
4/10/2008,40.9,42.4,40.55,41.4,2053200,39.9
4/9/2008,38.9,41.4,38.7,40.7,1753600,39.22
4/8/2008,39.05,39.45,38.5,39.15,579000,37.73
